fiIdentifier,username,password,accountid,customerid
021001088,apiuser1,Password#0,378293,383457
021001088,apiuser10,Password#0,379115,383469
021001088,apiuser11,Password#0,379143,383483
021001088,apiuser12,Password#0,379119,383471
021001088,apiuser13,Password#0,379123,383473
021001088,apiuser14,Password#0,379127,383475
021001088,apiuser16,Password#0,378307,384265
021001088,apiuser17,Password#0,378311,384267
021001088,apiuser19,Password#0,379135,383479
021001088,apiuser21,Password#0,379147,383485
021001088,apiuser22,Password#0,378315,384269
021001088,apiuser23,Password#0,378317,384271
021001088,apiuser24,Password#0,379155,383487
021001088,apiuser25,Password#0,378321,384273
021001088,apiuser27,Password#0,378325,384277
021001088,apiuser28,Password#0,379163,383489
021001088,apiuser29,Password#0,378329,384279
021001088,apiuser4,Password#0,379099,383461
021001088,apiuser5,Password#0,379103,383463
021001088,apiuser6,Password#0,378295,384259
021001088,apiuser7,Password#0,378299,384261
021001088,apiuser8,Password#0,379107,383465
021001088,apiuser9,Password#0,379111,383467
